標題,簡介,完整介紹,日期,地點,圖片,標籤,價格,適合年齡,時長,導覽類型,環境,主辦單位,活動連結
舊城區徒步導覽,探索舊城區的隱秘巷弄與歷史建築,加入我們兩小時的舊城區徒步導覽。我們將參觀最古老的市場、城牆，並了解塑造這座城市的傳說。非常適合歷史愛好者和攝影迷。,2024-01-15,台北,old_town.png,"History,Architecture",250,"junior,senior,adult",2hr,"scheduled,group",outdoor,文化探索官方,#
博物館之夜,國立歷史博物館的特別夜間參觀活動,體驗前所未有的博物館之旅。包含特別燈光秀與古代文物導覽。附贈博物館咖啡廳飲品一杯。,2024-01-20,台北,museum_night.png,"History,Civics",150,"elementary,junior,senior,adult",1.5hr,scheduled,indoor,文化探索官方,#
傳統茶道體驗,學習傳統製茶與泡茶的藝術,沉浸在傳統茶館的寧靜氛圍中。茶道大師將帶領您了解茶道的歷史與儀式。您將品嚐三種頂級茶葉。,2024-01-22,台北,tea_ceremony.png,"Food,Religion",400,"senior,adult",1hr,group,indoor,文化探索官方,#
寺廟建築巡禮,探索古老寺廟的建築奇蹟,專注於城市著名寺廟建築風格與建造技術的導覽。了解雕刻背後的象徵意義與古人的結構智慧。,2024-01-25,台中,temple_detail.png,"Architecture,Religion",300,"junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
書法藝術工作坊,親手學習傳統書法的實作工作坊,拿起毛筆，學習傳統書法的基礎。我們的專家導師將教您如何書寫您的名字和簡單語句。提供所有材料，您可以將作品帶回家。,2024-01-28,台北,calligraphy.png,"Literature,History",350,"elementary,junior,senior,adult",1.5hr,group,indoor,文化探索官方,#
民謠音樂會,傳統民謠音樂的現場演出,享受由在地藝術家帶來的傳統民謠之夜。音樂會將使用傳統樂器演奏講述地區歷史故事的歌曲。,2024-02-01,台南,folk_music.png,"History,Literature",200,"elementary,junior,senior,adult",2hr,scheduled,indoor,文化探索官方,#
夜市美食探索,品嚐台灣最道地的夜市小吃,跟隨在地美食專家探索最受歡迎的夜市。品嚐10種以上的經典小吃，了解每道料理背後的故事。,2024-02-05,台北,default.png,"Food,Business",450,"junior,senior,adult",3hr,group,outdoor,文化探索官方,#
古蹟攝影工作坊,學習如何拍攝歷史建築的技巧,專業攝影師帶領您探訪城市最美的古蹟，教授構圖、光線運用等攝影技巧。適合攝影愛好者。,2024-02-08,台北,default.png,"History,Architecture",500,"senior,adult",3hr,group,outdoor,文化探索官方,#
傳統工藝體驗,親手製作傳統手工藝品,在工藝大師的指導下，學習製作傳統陶瓷或木雕。完成的作品可以帶回家作為紀念。,2024-02-12,台中,default.png,"History,Business",600,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
生態導覽,探索城市中的自然生態,跟隨生態專家探訪城市公園和濕地，觀察鳥類、昆蟲和植物。適合親子同遊。,2024-02-15,台北,default.png,Ecology,280,"elementary,junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
咖啡文化之旅,深入了解台灣的咖啡文化,參訪精品咖啡館，學習咖啡豆的選擇、烘焙和沖煮技巧。品嚐多種單品咖啡。,2024-02-18,台北,default.png,"Food,Business",380,adult,2hr,group,indoor,文化探索官方,#
老街漫步,漫遊充滿歷史韻味的老街,探訪保存完好的老街區，了解傳統建築特色和商業文化。品嚐老字號美食。,2024-02-20,台南,default.png,"History,Food",320,"elementary,junior,senior,adult",2.5hr,scheduled,outdoor,文化探索官方,#
劇場導覽,認識台灣的表演藝術,參觀知名劇場的後台，了解舞台設計、燈光音響等專業知識。有機會觀賞排練。,2024-02-22,台北,default.png,"Literature,Civics",400,"junior,senior,adult",2hr,scheduled,indoor,文化探索官方,#
登山健行,挑戰城市周邊的登山步道,由專業嚮導帶領，攀登風景優美的山徑。欣賞壯麗的城市全景。,2024-02-25,台北,default.png,Ecology,350,"senior,adult",4hr,group,outdoor,文化探索官方,#
傳統市場導覽,體驗最道地的市場文化,跟隨在地人逛傳統市場，認識各種食材和烹飪文化。品嚐市場美食。,2024-02-28,台中,default.png,"Food,Business",280,"elementary,junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
建築美學講座,深入淺出的建築藝術課程,由建築師主講，介紹台灣建築的演變和特色。包含實地參訪經典建築。,2024-03-02,台北,default.png,"Architecture,Civics",450,"senior,adult",3hr,scheduled,indoor,文化探索官方,#
手作烘焙課程,學習製作傳統糕點,在專業烘焙師的指導下，製作鳳梨酥、綠豆糕等傳統點心。可將成品帶回家。,2024-03-05,台北,default.png,Food,550,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
河岸單車遊,騎乘單車探索河濱風光,沿著河岸自行車道騎行，欣賞河岸景色和城市天際線。適合全家同遊。,2024-03-08,台北,default.png,Ecology,250,"elementary,junior,senior,adult",3hr,group,outdoor,文化探索官方,#
陶藝工作坊,體驗拉坯和手捏陶藝,在陶藝老師的指導下，學習基本的陶藝技巧。作品燒製完成後可取回。,2024-03-12,台北,default.png,"History,Business",650,"junior,senior,adult",3hr,group,indoor,文化探索官方,#
文學散步,走訪作家筆下的城市場景,跟隨文學導覽員，探訪知名作家作品中的場景。分享文學故事和創作背景。,2024-03-15,台北,default.png,"Literature,History",320,"senior,adult",2hr,scheduled,outdoor,文化探索官方,#
港口巡禮,認識台灣的海洋文化,參觀漁港和海洋博物館，了解漁業發展和海洋生態。品嚐新鮮海產。,2024-03-18,台南,default.png,"History,Ecology",380,"elementary,junior,senior,adult",3hr,scheduled,outdoor,文化探索官方,#
